,State,% Change in Real Average WBA (2018-2023),% Change in Real Maximum WBA (2018-2023),% Change in Real Minimum WBA (2018-2023),% Change in Recipiency Rate (2018-2023),% Change in Real Average WBA (2013-2023),% Change in Real Maximum WBA (2013-2023),% Change in Real Minimum WBA (2013-2023),% Change in Recipiency Rate (2013-2023),% Change in Real Average WBA (2003-2023),% Change in Real Maximum WBA (2003-2023),% Change in Real Minimum WBA (2003-2023),% Change in Recipiency Rate (2003-2023)
29,NE,4.318868158689447,2.8750126097044326,-17.143993635640424,0.694086827487,21.76243360695316,11.56328629252816,-21.440693946822563,-11.090818452958,23.328605663422504,23.70708826978286,22.601530311948206,-19.925568822326
30,NH,-6.515732239950086,-15.50256126263326,-15.473441108545025,-2.55046806581999,-0.4791953314039091,-20.633940182054623,-20.607375271149674,-7.086501095012999,-15.857033976493245,-29.215112064716287,-38.32153690596562,-14.622858826052
31,NJ,8.341307288745185,2.984070489170537,31.820869051138047,-3.2696861662849996,15.081312210850989,5.566060821783716,42.31689803733843,13.02321225340799,5.6365215712769166,7.752219623515518,57.69094766619518,-4.1608216523
32,NM,1.8294630229481232,1.760000000000001,1.3759761993306097,6.967241868743999,-2.92697777584483,-3.0230708035003997,-3.2132078821231937,0.98305298351499,11.913357400722017,13.956296498266656,13.112033195020748,-2.11948716019799
33,NV,7.176045431078991,4.075751337999175,-18.64406779661016,-5.059742897608,7.4117190531625905,1.8089069369399555,-27.150084317032032,1.95145999488599,5.153855894643539,5.925486225077701,-41.73971679028995,-21.065801990242
34,NY,2.41239426894528,-0.9623646674686412,4.773869346733674,6.171101466672,8.425092520674372,-1.2339331619537353,53.77440347071584,9.812124281735999,-12.438196443066929,-23.260273242962537,91.12968455109193,0.440370719036
35,OH,4.032822586917635,4.930551190999935,1.631321370309951,0.8524606097439901,15.470281003151037,6.72824905708624,7.265840220385672,1.08952662493899,14.227763781544898,12.302828507046057,12.509029617144233,-14.414497888288999
36,OK,-11.184755592377794,-20.215757158432325,-18.148820326678766,-4.295083394191,4.058426550799667,-2.3115295440174384,-23.559322033898315,-5.298519518329,2.39708892426655,-2.680758731714154,-40.22531477799868,-14.670160387735
37,OR,10.560870380791588,5.38848992619189,5.511642811365089,5.413851051820999,22.940219431813432,8.818228630278064,9.233661395554565,6.18497724690599,19.709155902185387,12.595572368596311,14.59396751740139,-8.636084067573
38,PA,-1.067335780091366,-8.87799994731157,-15.49663116713757,-2.53071440415099,0.974696124149534,-16.202727911427672,-22.90303390838786,-3.12329861780799,-5.097715188963931,-17.2789018032238,19.8151001540832,-24.980521114214
39,PR,48.57177884025991,52.47249694410492,623.6286919831223,3.552118642289,38.06106174527227,43.21052082246112,580.5555555555555,0.539518385723,16.372191280967925,11.272402887032683,428.5053929121725,-6.195601930981
40,RI,6.850067613252202,1.5144789409091977,9.330628803245434,13.728323952522988,3.436285538965026,-4.650136119490848,16.378778531770497,27.39205721635299,-12.402563658409834,-1.7984793755841282,-27.33050847457628,5.23041094060199
41,SC,-7.73207215134184,-18.11177911378313,-18.112685793294155,-2.12406618456399,-7.919433620547724,-23.517178271358453,-23.506619309008716,-0.023669133406999998,-16.42757521418609,-29.85962770826977,25.609756097560982,-14.975925714704
42,SD,6.543624161073828,3.466000356951646,-17.105917454002974,3.053739836267,19.64064151463628,14.90525648140808,-21.4049976426214,1.3925071002029898,29.76623635548025,27.42219096184281,-36.92773363601967,-6.657962265126
43,TN,-13.19944346984453,-18.107908351810785,-18.10261374636979,-0.14668267962099,-13.283374629842262,-23.510848126232744,-23.50813743218806,-3.4127294740619902,-29.01454437518551,-40.1843211352331,-40.19088016967125,-22.28447773408099
44,TX,-2.824738614212288,-6.671172892115082,-12.004333694474536,-0.73068074454699,7.517352260695666,-2.132577275108637,-11.176727909011372,2.3729593589649998,9.58433253397283,2.667140825035562,-18.747498999599834,-5.43236623202099
45,UT,5.425661622319441,6.598435679813602,11.094377510040148,5.85420814749,14.312932576405633,8.246725813265728,14.841722885313956,-1.41559507765999,14.255178578368508,13.60962487806319,3.799249530956842,-3.09572849712099
46,VA,-9.671448403516893,-18.112685793294155,-18.12242922816355,-2.82292561101099,-11.481951750408136,-23.51485148514851,-15.017579105976887,-4.7657673541689896,-26.133353515477182,-28.901560624249694,-39.180445722501794,-17.490801405347
47,VT,15.145363001461746,21.12207034347151,-12.20729366602687,-2.4074957689720002,25.450121654501203,24.741964985628428,-7.986320659826994,1.03838064795499,18.75706687884752,17.35910515641325,4818.279569892473,-14.790154707070998
48,WA,19.828878341244067,13.905494180520051,52.49086534176992,4.612025119078,34.15606208921829,20.446727719455,61.4245283018868,1.5974141444769898,26.404901508663293,17.30003697983512,72.54209942522941,-14.171332653938002
49,WI,-10.80253662803412,-17.141352195342197,-17.143593709718996,-5.506037572197,-1.923539312334696,-19.91053894828716,-21.437301393302363,-8.533943000175,-15.109261186264314,-29.08388343261955,-30.508108108108107,-24.670271637444
50,WV,11.949965391080797,21.67362870643019,-18.08832425892318,-0.39650129282499,11.213163064833012,13.646103169273088,-23.502824858757062,-8.121562383533,4.5817745138792745,7.356273224373893,-40.16791869200177,-12.915437861139988
51,WY,-0.2820482262741745,-4.156758299248554,-7.099827882960408,0.9468295252150001,-6.503277711561386,-11.151607783199122,-11.73344235486509,-7.24665442111999,10.11097951484845,10.184442662389737,10.945529290853026,-13.523850245891001
