State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
CA,2015,1,"18,785","15,697","1,249",7,7,"1,311",435.92,435.92,33.2,25,33.2,25
CA,2015,2,"18,827","16,026","1,272",6.3,10,"1,179",387.79,387.8,32.9,13,32.9,13
CA,2015,3,"18,840","16,113","1,288",6.1,11,"1,153",369.73,369.73,32.1,13,32.1,13
CA,2015,4,"18,844","16,368","1,307",5.6,12,"1,063",357.34,357.34,33.6,18,33.6,18
CA,2016,1,"18,947","16,169","1,304",5.9,13,"1,113",421.81,421.81,37.9,18,37.9,18
CA,2016,2,"18,949","16,501","1,325",5.3,15,"1,011",372.49,372.49,36.9,12,36.9,12
CA,2016,3,"19,098","16,505","1,342",5.6,13,"1,072",351.34,351.34,32.8,11,32.8,11
CA,2016,4,"19,054","16,710","1,360",5.2,11,991,346.5,346.5,35,13,35,13
CA,2017,1,"19,150","16,463","1,357",5.4,13,"1,041",422.32,422.32,40.6,16,40.6,16
CA,2017,2,"19,139","16,807","1,368",4.7,16,900,363.92,363.92,40.4,8,40.4,8
CA,2017,3,"19,272","16,802","1,385",4.9,12,943,336.42,336.42,35.7,7,35.7,7
CA,2017,4,"19,181","17,027","1,402",4.3,14,825,335.42,335.42,40.6,9,40.6,9
CA,2018,1,"19,246","16,838","1,391",4.6,21,888,381.5,381.5,43,15,43,15
CA,2018,2,"19,235","17,122","1,403",4.1,15,784,346.16,346.16,44.2,7,44.2,7
CA,2018,3,"19,319","17,121","1,420",4.3,11,824,317.9,317.9,38.6,6,38.6,6
CA,2018,4,"19,358","17,359","1,429",4,14,782,311.53,311.53,39.8,11,39.8,11
CA,2019,1,"19,388","17,119","1,436",4.6,15,891,378.99,378.99,42.6,12,42.6,12
CA,2019,2,"19,236","17,390","1,443",3.9,15,746,338.33,338.33,45.3,6,45.3,6
CA,2019,3,"19,420","17,386","1,461",4.1,14,799,310.85,310.85,38.9,8,38.9,8
CA,2019,4,"19,497","17,643","1,476",3.8,13,748,301.92,301.92,40.4,12,40.4,12
CA,2020,1,"19,516","17,390","1,477",5,12,983,399.87,399.87,40.7,22,40.7,22
CA,2020,2,"18,687","15,195","1,495",15.1,8,"2,824","2,785.28","2,785.28",98.6,19,98.6,19
CA,2020,3,"18,927","15,657","1,506",11.8,4,"2,234","2,800.66","2,855.14",125.4,10,127.8,9
CA,2020,4,"18,704","16,233","1,521",8.8,5,"1,645","1,397.20","1,546.81",84.9,7,94,8
CO,2015,1,"2,804","2,393",157,4.4,44,124,37.75,37.75,30.4,30,30.4,30
CO,2015,2,"2,820","2,436",159,3.9,43,111,32.71,32.71,29.5,21,29.5,21
CO,2015,3,"2,837","2,464",161,3.4,47,97,28.02,28.02,29,22,29,22
CO,2015,4,"2,842","2,471",163,3.2,47,91,29.2,29.2,32,21,32,21
CO,2016,1,"2,863","2,452",162,3.6,48,102,34.65,34.65,34.1,24,34.1,24
