State,Minimum WBA,Maximum WBA,Year
IN,$50 ,$369 ,2005
KS,$89 ,$359 ,2005
KY,$39 ,$365 ,2005
LA,$10 ,$258 ,2005
MA,$29 ,$528 ,2005
MD,$25 ,$310 ,2005
ME,$52 ,$302 ,2005
MI,$81 ,$362 ,2005
MN,$38 ,$493 ,2005
MO,$48 ,$250 ,2005
MS,$30 ,$210 ,2005
MT,$75 ,$335 ,2005
NC,$36 ,$426 ,2005
ND,$43 ,$324 ,2005
NE,$30 ,$288 ,2005
NH,$32 ,$372 ,2005
NJ,$61 ,$503 ,2005
NM,$57 ,$300 ,2005
NV,$16 ,$329 ,2005
NY,$40 ,$405 ,2005
OH,$93 ,$331 ,2005
OK,$16 ,$292 ,2005
OR,$98 ,$419 ,2005
PA,$35 ,$478 ,2005
PR,$7 ,$133 ,2005
RI,$62 ,$462 ,2005
SC,$20 ,$292 ,2005
SD,$28 ,$256 ,2005
TN,$30 ,$275 ,2005
TX,$54 ,$336 ,2005
UT,$24 ,$371 ,2005
VA,$50 ,$326 ,2005
VI,$33 ,$387 ,2005
VT,$42 ,$371 ,2005
WA,$111 ,$496 ,2005
WI,$49 ,$329 ,2005
WV,$24 ,$366 ,2005
WY,$23 ,$316 ,2005
AK,44,248,2006
AL,45,220,2006
AR,68,382,2006
AZ,60,240,2006
CA,40,450,2006
CO,25,421,2006
CT,15,465,2006
DC,50,359,2006
DE,20,330,2006
FL,32,275,2006
GA,40,300,2006
HI,5,459,2006
IA,48,324,2006
ID,51,322,2006
IL,51,350,2006
IN,50,390,2006
KS,93,373,2006
KY,39,365,2006
LA,10,258,2006
MA,29,528,2006
MD,25,340,2006
ME,54,313,2006
MI,81,362,2006
MN,38,515,2006
MO,48,270,2006
MS,30,210,2006
MT,98,346,2006
NC,36,442,2006
ND,43,340,2006
NE,30,288,2006
NH,32,372,2006
NJ,73,521,2006
NM,62,312,2006
NV,16,346,2006
NY,40,405,2006
OH,96,343,2006
OK,16,317,2006
OR,101,434,2006
PA,35,497,2006
PR,7,133,2006
RI,62,477,2006
SC,20,303,2006
SD,28,266,2006
TN,30,275,2006
TX,55,336,2006
UT,25,383,2006
VA,54,330,2006
VI,33,416,2006
VT,57,385,2006
WA,112,496,2006
WI,51,341,2006
WV,24,380,2006
WY,24,330,2006
AK,$44 ,$248 ,2007
AL,$45 ,$230 ,2007
AR,$71 ,$395 ,2007
AZ,$60 ,$240 ,2007
CA,$40 ,$450 ,2007
CO,$25 ,$435 ,2007
CT,$15 ,$483 ,2007
DC,$50 ,$359 ,2007
DE,$20 ,$330 ,2007
FL,$32 ,$275 ,2007
GA,$42 ,$320 ,2007
HI,$5 ,$475 ,2007
IA,$50 ,$334 ,2007
ID,$51 ,$338 ,2007
IL,$51 ,$367 ,2007
IN,$50 ,$390 ,2007
KS,$96 ,$386 ,2007
KY,$39 ,$401 ,2007
LA,$10 ,$258 ,2007
MA,$31 ,$575 ,2007
MD,$25 ,$340 ,2007
ME,$56 ,$320 ,2007
MI,$110 ,$362 ,2007
MN,$38 ,$521 ,2007
MO,$56 ,$280 ,2007
MS,$30 ,$210 ,2007
MT,$103 ,$362 ,2007
NC,$39 ,$457 ,2007
ND,$43 ,$351 ,2007
NE,$30 ,$288 ,2007
NH,$32 ,$372 ,2007
NJ,$73 ,$536 ,2007
NM,$65 ,$326 ,2007
NV,$16 ,$362 ,2007
NY,$40 ,$405 ,2007
OH,$100 ,$355 ,2007
OK,$16 ,$342 ,2007
OR,$104 ,$445 ,2007
PA,$35 ,$520 ,2007
PR,$7 ,$133 ,2007
RI,$65 ,$492 ,2007
SC,$20 ,$303 ,2007
SD,$28 ,$274 ,2007
TN,$30 ,$275 ,2007
TX,$56 ,$364 ,2007
UT,$26 ,$406 ,2007
VA,$54 ,$347 ,2007
VI,$33 ,$426 ,2007
VT,$59 ,$394 ,2007
WA,$116 ,$496 ,2007
WI,$53 ,$355 ,2007
WV,$24 ,$391 ,2007
WY,$25 ,$349 ,2007
AK,$44 ,$248 ,2008
AL,$45 ,$235 ,2008
AR,$73 ,$409 ,2008
AZ,$60 ,$240 ,2008
CA,$40 ,$450 ,2008
CO,$25 ,$413 ,2008
CT,$15 ,$501 ,2008
DC,$50 ,$359 ,2008
DE,$20 ,$330 ,2008
FL,$32 ,$275 ,2008
GA,$44 ,$320 ,2008
HI,$5 ,$523 ,2008
IA,$51 ,$347 ,2008
ID,$58 ,$364 ,2008
IL,$51 ,$369 ,2008
IN,$50 ,$390 ,2008
KS,$101 ,$407 ,2008
KY,$39 ,$415 ,2008
LA,$10 ,$258 ,2008
MA,$32 ,$600 ,2008
MD,$25 ,$380 ,2008
ME,$57 ,$331 ,2008
MI,$113 ,$362 ,2008
MN,$38 ,$538 ,2008
MO,$45 ,$320 ,2008
MS,$30 ,$210 ,2008
MT,$114 ,$386 ,2008
NC,$39 ,$457 ,2008
ND,$43 ,$385 ,2008
NE,$30 ,$298 ,2008
NH,$32 ,$427 ,2008
NJ,$85 ,$560 ,2008
NM,$66 ,$355 ,2008
NV,$16 ,$362 ,2008
NY,$40 ,$405 ,2008
OH,$103 ,$365 ,2008
OK,$16 ,$392 ,2008
OR,$108 ,$463 ,2008
PA,$35 ,$539 ,2008
PR,$7 ,$133 ,2008
RI,$68 ,$513 ,2008
SC,$20 ,$326 ,2008
SD,$28 ,$285 ,2008
TN,$30 ,$275 ,2008
TX,$57 ,$378 ,2008
UT,$26 ,$427 ,2008
VA,$54 ,$363 ,2008
VI,$33 ,$454 ,2008
VT,$61 ,$409 ,2008
WA,$122 ,$515 ,2008
WI,$53 ,$355 ,2008
WV,$24 ,$408 ,2008
WY,$28 ,$387 ,2008
AK,$56 ,$370 ,2009
AL,$45 ,$255 ,2009
AR,$77 ,$431 ,2009
AZ,$60 ,$240 ,2009
CA,$40 ,$450 ,2009
CO,$25 ,$431 ,2009
CT,$15 ,$519 ,2009
DC,$50 ,$359 ,2009
DE,$20 ,$330 ,2009
FL,$32 ,$275 ,2009
GA,$44 ,$330 ,2009
HI,$5 ,$545 ,2009
IA,$53 ,$361 ,2009
ID,$65 ,$362 ,2009
IL,$51 ,$385 ,2009
IN,$50 ,$390 ,2009
KS,$105 ,$423 ,2009
KY,$39 ,$415 ,2009
LA,$10 ,$284 ,2009
MA,$34 ,$628 ,2009
MD,$25 ,$380 ,2009
ME,$60 ,$344 ,2009
MI,$117 ,$362 ,2009
MN,$38 ,$351 ,2009
MO,$35 ,$320 ,2009
MS,$30 ,$230 ,2009
MT,$120 ,$407 ,2009
NC,$42 ,$494 ,2009
ND,$43 ,$406 ,2009
NE,$30 ,$308 ,2009
NH,$32 ,$427 ,2009
NJ,$85 ,$584 ,2009
NM,$67 ,$359 ,2009
NV,$16 ,$393 ,2009
NY,$64 ,$405 ,2009
OH,$105 ,$372 ,2009
OK,$16 ,$409 ,2009
OR,$113 ,$482 ,2009
PA,$35 ,$558 ,2009
PR,$7 ,$133 ,2009
RI,$68 ,$528 ,2009
SC,$20 ,$326 ,2009
SD,$28 ,$298 ,2009
TN,$30 ,$275 ,2009
TX,$58 ,$392 ,2009
UT,$28 ,$444 ,2009
VA,$54 ,$378 ,2009
VI,$33 ,$459 ,2009
VT,$64 ,$425 ,2009
WA,$129 ,$541 ,2009
WI,$54 ,$363 ,2009
WV,$24 ,$424 ,2009
WY,$30 ,$415 ,2009
AK,$56 ,$370 ,2010
AL,$45 ,$265 ,2010
AR,$79 ,$441 ,2010
AZ,$60 ,$240 ,2010
CA,$40 ,$450 ,2010
CO,$25 ,$443 ,2010
CT,$15 ,$537 ,2010
DC,$50 ,$359 ,2010
DE,$20 ,$330 ,2010
FL,$32 ,$275 ,2010
GA,$44 ,$330 ,2010
HI,$5 ,$559 ,2010
IA,$56 ,$374 ,2010
ID,$72 ,$334 ,2010
IL,$51 ,$385 ,2010
IN,$50 ,$390 ,2010
KS,$109 ,$436 ,2010
KY,$39 ,$415 ,2010
LA,$10 ,$247 ,2010
MA,$33 ,$629 ,2010
MD,$25 ,$410 ,2010
ME,$62 ,$356 ,2010
MI,$117 ,$362 ,2010
MN,$38 ,$377 ,2010
MO,$35 ,$320 ,2010
