State,% Change in Real Average WBA (2018-2023),% Change in Real Maximum WBA (2018-2023),% Change in Real Minimum WBA (2018-2023),Change in Recipiency Rate (2018-2023),% Change in Real Average WBA (2013-2023),% Change in Real Maximum WBA (2013-2023),% Change in Real Minimum WBA (2013-2023),Change in Recipiency Rate (2013-2023),% Change in Real Average WBA (2003-2023),% Change in Real Maximum WBA (2003-2023),% Change in Real Minimum WBA (2003-2023),Change in Recipiency Rate (2003-2023)
NC,-5.375383756628521,-18.110170897627352,-18.10261374636979,0.010056269516209998,-22.48388129315469,-49.963249271321764,-75.05896226415094,-0.1307757929334,-34.80250759586169,-48.690092525210524,-73.61197754210855,-0.25237295459286
ND,-4.395043950439498,-7.98051962968919,-17.15765619941729,-0.08004702997933999,5.41497138698687,2.47902169463774,-21.43076450721523,-0.02169940905679002,45.06554989075018,46.33228611090816,-36.9549150036955,-0.06653703503195002
NE,4.318868158689447,2.8750126097044326,-17.143993635640424,0.006940868274870005,21.76243360695316,11.563286292528161,-21.440693946822563,-0.11090818452958001,23.328605663422504,23.70708826978286,22.601530311948206,-0.19925568822326
NH,-6.515732239950086,-15.502561262633261,-15.473441108545025,-0.025504680658199996,-0.47919533140390913,-20.633940182054626,-20.607375271149674,-0.07086501095013001,-15.857033976493243,-29.215112064716287,-38.32153690596562,-0.14622858826052
NJ,8.341307288745185,2.984070489170537,31.820869051138047,-0.03269686166285002,15.081312210850987,5.566060821783716,42.31689803733843,0.13023212253407995,5.6365215712769166,7.752219623515518,57.69094766619518,-0.04160821652300006
NM,1.8294630229481232,1.760000000000001,1.3759761993306097,0.06967241868744001,-2.92697777584483,-3.0230708035003993,-3.2132078821231937,0.009830529835149981,11.913357400722017,13.956296498266655,13.112033195020748,-0.02119487160197997
NV,7.1760454310789905,4.075751337999175,-18.64406779661016,-0.05059742897608002,7.4117190531625905,1.8089069369399555,-27.150084317032032,0.019514599948859984,5.153855894643539,5.925486225077701,-41.73971679028995,-0.21065801990242003
NY,2.41239426894528,-0.9623646674686412,4.773869346733674,0.06171101466672002,8.425092520674372,-1.2339331619537353,53.77440347071584,0.09812124281736001,-12.438196443066927,-23.260273242962537,91.12968455109193,0.00440370719036004
OH,4.032822586917635,4.930551190999935,1.631321370309951,0.00852460609743999,15.470281003151037,6.72824905708624,7.265840220385672,0.010895266249389995,14.227763781544898,12.302828507046057,12.509029617144233,-0.14414497888289002
OK,-11.184755592377794,-20.215757158432325,-18.148820326678766,-0.042950833941910016,4.058426550799667,-2.3115295440174384,-23.559322033898315,-0.05298519518329001,2.39708892426655,-2.680758731714154,-40.225314777998676,-0.14670160387735
OR,10.560870380791588,5.38848992619189,5.511642811365089,0.054138510518210003,22.940219431813432,8.818228630278064,9.233661395554565,0.06184977246905998,19.709155902185387,12.595572368596311,14.59396751740139,-0.08636084067573002
PA,-1.067335780091366,-8.87799994731157,-15.49663116713757,-0.025307144041509966,0.9746961241495341,-16.202727911427672,-22.90303390838786,-0.031232986178079958,-5.097715188963931,-17.2789018032238,19.8151001540832,-0.24980521114214
PR,48.57177884025991,52.47249694410492,623.6286919831223,0.03552118642289001,38.06106174527227,43.21052082246112,580.5555555555555,0.005395183857230007,16.372191280967925,11.272402887032685,428.5053929121725,-0.06195601930981001
RI,6.850067613252202,1.5144789409091977,9.330628803245434,0.13728323952522997,3.436285538965026,-4.650136119490848,16.378778531770497,0.27392057216352994,-12.402563658409834,-1.7984793755841282,-27.33050847457628,0.05230410940601998
SC,-7.73207215134184,-18.11177911378313,-18.112685793294155,-0.021240661845639996,-7.919433620547724,-23.517178271358453,-23.506619309008713,-0.00023669133407000498,-16.42757521418609,-29.859627708269766,25.609756097560986,-0.14975925714704003
SD,6.543624161073828,3.466000356951646,-17.105917454002974,0.03053739836267,19.64064151463628,14.905256481408081,-21.4049976426214,0.013925071002029998,29.766236355480252,27.422190961842812,-36.92773363601967,-0.06657962265126
TN,-13.19944346984453,-18.107908351810785,-18.10261374636979,-0.0014668267962099912,-13.283374629842262,-23.510848126232744,-23.50813743218806,-0.034127294740619984,-29.01454437518551,-40.1843211352331,-40.19088016967125,-0.22284477734080999
TX,-2.824738614212288,-6.671172892115082,-12.004333694474537,-0.007306807445469993,7.517352260695666,-2.132577275108637,-11.176727909011372,0.023729593589650017,9.58433253397283,2.667140825035562,-18.747498999599834,-0.054323662320209964
UT,5.425661622319441,6.598435679813602,11.094377510040147,0.058542081474900004,14.312932576405633,8.246725813265728,14.841722885313956,-0.01415595077659998,14.255178578368508,13.60962487806319,3.799249530956842,-0.030957284971209975
VA,-9.671448403516893,-18.112685793294155,-18.12242922816355,-0.028229256110109985,-11.481951750408136,-23.51485148514851,-15.017579105976889,-0.04765767354168998,-26.133353515477182,-28.901560624249694,-39.180445722501794,-0.17490801405347
VT,15.145363001461746,21.12207034347151,-12.20729366602687,-0.02407495768972001,25.450121654501203,24.741964985628428,-7.986320659826994,0.01038380647954995,18.75706687884752,17.35910515641325,4818.279569892473,-0.14790154707071007
WA,19.828878341244067,13.905494180520053,52.49086534176992,0.046120251190780004,34.15606208921829,20.446727719454998,61.4245283018868,0.015974141444769996,26.404901508663293,17.30003697983512,72.54209942522941,-0.14171332653938
WI,-10.80253662803412,-17.141352195342197,-17.143593709718996,-0.055060375721970034,-1.9235393123346962,-19.910538948287158,-21.437301393302363,-0.08533943000175004,-15.109261186264314,-29.08388343261955,-30.508108108108107,-0.24670271637444002
WV,11.949965391080795,21.67362870643019,-18.08832425892318,-0.003965012928249995,11.213163064833012,13.646103169273088,-23.502824858757062,-0.08121562383533001,4.5817745138792745,7.3562732243738935,-40.16791869200177,-0.12915437861139997
WY,-0.28204822627417453,-4.156758299248554,-7.099827882960408,0.00946829525215001,-6.503277711561386,-11.151607783199122,-11.73344235486509,-0.07246654421119997,10.11097951484845,10.184442662389735,10.945529290853026,-0.13523850245891
