State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
NM,2009,4,924,756,45,7.1,41,66,26.8,29.37,40.6,23,44.5,20
NM,2010,1,920,741,45,7.9,43,73,28.32,28.52,38.7,24,39,26
NM,2010,2,935,752,44,7.9,36,73,26.97,33.63,36.7,21,45.8,10
NM,2010,3,933,745,44,8.1,30,75,23.79,34.07,31.6,21,45.3,8
NM,2010,4,928,753,44,7.2,40,67,22.96,31.03,34.1,20,46.1,8
NM,2011,1,919,741,44,7.3,42,67,24.19,28.22,35.9,22,41.8,20
NM,2011,2,924,753,45,7.1,40,65,22.01,24.16,33.7,11,37,13
NM,2011,3,928,747,44,7.6,32,71,22.36,24.87,31.6,14,35.2,11
NM,2011,4,929,753,44,6.9,33,64,21.97,24.6,34.2,14,38.3,15
NM,2012,1,922,743,44,7.2,35,66,21.48,23.09,32.6,28,35,28
NM,2012,2,927,756,45,6.8,36,63,19.05,19.06,30,21,30,24
NM,2012,3,929,748,44,7.3,26,67,18.51,18.51,27.4,21,27.4,21
NM,2012,4,937,768,42,6.7,30,62,17.61,17.62,28.2,25,28.2,25
NM,2013,1,925,752,44,7,36,65,16.11,16.12,24.9,34,24.9,34
NM,2013,2,932,763,45,6.9,27,64,16.51,16.52,25.8,27,25.9,27
NM,2013,3,930,758,45,7.1,24,66,17.01,17.01,25.6,25,25.6,25
NM,2013,4,931,769,45,6.6,22,62,15.94,15.95,25.9,28,25.9,28
NM,2014,1,926,757,45,6.8,24,63,16.42,16.42,26,34,26,34
NM,2014,2,930,770,45,6.5,16,60,15.55,15.55,25.7,30,25.7,30
NM,2014,3,933,769,45,6.9,12,65,13.88,13.88,21.4,32,21.4,32
NM,2014,4,938,781,45,6.1,13,57,12.79,12.79,22.4,36,22.4,36
NY,2009,1,"9,662","8,207",492,8,30,776,366.84,366.85,47.3,25,47.3,26
NY,2009,2,"9,673","8,282",493,8.1,28,786,373.83,401.82,47.5,24,51.1,21
NY,2009,3,"9,721","8,096",494,8.6,25,838,356.89,436.37,42.6,19,52.1,12
NY,2009,4,"9,601","8,284",495,8.8,25,841,308.86,358.4,36.7,29,42.6,27
NY,2010,1,"9,616","8,063",491,9.5,29,910,341.27,358.53,37.5,27,39.4,25
NY,2010,2,"9,678","8,285",492,8.5,27,823,283.83,304.46,34.5,24,37,24
NY,2010,3,"9,683","8,140",493,8.6,26,829,291.76,359.7,35.2,15,43.4,10
NY,2010,4,"9,544","8,369",496,8.3,27,796,273.59,375.62,34.4,18,47.2,7
NY,2011,1,"9,518","8,173",494,8.7,30,830,313.76,391.49,37.8,17,47.2,12
NY,2011,2,"9,522","8,387",497,8,27,763,257.1,317.86,33.7,11,41.7,8
NY,2011,3,"9,582","8,274",497,8.4,24,803,264.89,308.37,33,10,38.4,9
NY,2011,4,"9,529","8,477",502,8.3,20,789,248.51,312.48,31.5,20,39.6,11
NY,2012,1,"9,534","8,308",501,9.1,14,870,299.52,353.88,34.4,23,40.7,18
NY,2012,2,"9,597","8,502",504,8.5,16,817,245.79,285.84,30.1,18,35,11
NY,2012,3,"9,659","8,389",506,8.7,15,837,266.07,272.64,31.8,12,32.6,12
NY,2012,4,"9,620","8,593",510,8.2,13,786,250.34,280.57,31.9,23,35.7,17
NY,2013,1,"9,601","8,397",508,8.7,14,834,281.98,282.39,33.8,19,33.8,19
NY,2013,2,"9,659","8,616",511,7.7,17,746,226.6,226.92,30.4,20,30.4,20
NY,2013,3,"9,711","8,509",511,7.8,15,753,232.57,232.72,30.9,13,30.9,13
NY,2013,4,"9,560","8,760",513,7.1,14,675,219.68,219.69,32.5,20,32.5,20
NY,2014,1,"9,540","8,532",512,7.3,18,695,258.04,258.04,37.1,20,37.1,20
NY,2014,2,"9,522","8,773",514,6.1,22,581,190.04,190.04,32.7,15,32.7,15
NY,2014,3,"9,553","8,693",516,6.1,25,587,185.25,185.25,31.6,9,31.6,9
NY,2014,4,"9,479","8,931",517,5.6,23,530,180.97,180.97,34.2,15,34.2,15
OH,2009,1,"5,889","4,872",230,9.8,12,578,266.01,266.01,46,28,46,29
OH,2009,2,"5,924","4,898",229,10,14,592,263.95,279.79,44.6,28,47.3,27
OH,2009,3,"5,931","4,851",227,10.3,18,609,211.92,244.42,34.8,34,40.1,31
OH,2009,4,"5,875","4,843",227,10.6,11,622,173.38,200.48,27.9,45,32.3,42
OH,2010,1,"5,846","4,700",228,11.8,9,687,191.01,191.32,27.8,43,27.8,44
OH,2010,2,"5,914","4,841",229,10.3,13,607,144.23,161.58,23.7,44,26.6,43
OH,2010,3,"5,895","4,858",229,9.8,18,578,128.76,154.57,22.3,45,26.7,44
OH,2010,4,"5,830","4,890",218,9.3,19,544,117.3,157.57,21.6,46,29,38
OH,2011,1,"5,750","4,766",218,9.7,20,559,146.91,182.31,26.3,37,32.6,34
OH,2011,2,"5,794","4,907",218,8.9,21,515,113.49,141.87,22,40,27.5,34
OH,2011,3,"5,814","4,928",218,8.8,22,513,96.15,119.65,18.8,48,23.3,44
OH,2011,4,"5,735","4,951",218,7.9,25,452,95.4,116.75,21.1,44,25.8,38
OH,2012,1,"5,682","4,854",218,8.3,26,472,127.2,146.18,26.9,34,31,35
OH,2012,2,"5,734","4,996",219,7.2,27,415,90.05,94.02,21.7,38,22.7,39
OH,2012,3,"5,735","4,992",218,7.2,29,410,84.14,84.17,20.5,42,20.5,43
OH,2012,4,"5,700","5,026",218,6.9,25,392,85.82,85.85,21.9,40,21.9,40
OH,2013,1,"5,647","4,905",218,8.2,20,464,112.4,112.57,24.2,36,24.2,36
OH,2013,2,"5,738","5,058",219,7.4,22,425,81.78,81.9,19.2,46,19.3,46
OH,2013,3,"5,751","5,067",219,7.4,19,425,71.61,71.71,16.8,48,16.9,48
OH,2013,4,"5,691","5,104",219,6.8,21,387,74.56,74.66,19.3,45,19.3,45
OH,2014,1,"5,645","4,970",220,7,21,395,103.76,103.82,26.3,33,26.3,33
OH,2014,2,"5,715","5,130",221,5.7,29,326,68.53,68.54,21,38,21.1,38
OH,2014,3,"5,758","5,143",221,5.6,34,323,58.83,58.84,18.2,42,18.2,42
OH,2014,4,"5,734","5,188",221,4.9,32,282,62.13,62.14,22,38,22,38
OK,2009,1,"1,754","1,473",83,5.9,49,104,34.74,34.74,33.4,45,33.4,45
OK,2009,2,"1,784","1,462",83,6.8,44,120,45.3,45.3,37.6,37,37.6,39
OK,2009,3,"1,779","1,427",83,6.8,45,122,44.59,44.59,36.6,32,36.6,41
OK,2009,4,"1,760","1,442",83,6.7,45,118,40.05,40.06,33.9,32,33.9,37
OK,2010,1,"1,756","1,416",83,7.3,45,127,38.33,38.33,30.1,40,30.1,41
OK,2010,2,"1,773","1,443",83,6.5,47,115,32.79,32.79,28.5,34,28.5,38
OK,2010,3,"1,769","1,419",82,6.3,46,111,32.14,32.14,28.9,27,28.9,39
OK,2010,4,"1,765","1,454",83,6.1,47,107,29.99,29.99,28,28,28,41
OK,2011,1,"1,750","1,428",83,6,49,104,29.84,29.84,28.6,32,28.6,40
OK,2011,2,"1,764","1,462",83,5.5,48,96,25.65,25.65,26.6,30,26.6,38
OK,2011,3,"1,770","1,445",83,5.6,46,99,24.69,24.69,25,28,25,36
OK,2011,4,"1,784","1,478",83,5.4,47,96,23.81,23.82,24.9,32,24.9,43
OK,2012,1,"1,777","1,466",83,5.3,49,94,24.12,24.12,25.6,39,25.6,43
OK,2012,2,"1,798","1,495",84,5,47,90,22.64,22.64,25.3,30,25.3,33
OK,2012,3,"1,799","1,471",84,5.1,46,92,24.18,24.18,26.3,24,26.3,24
OK,2012,4,"1,805","1,514",84,5,46,89,22.27,22.28,24.9,31,24.9,31
OK,2013,1,"1,790","1,493",84,5.3,47,95,21.39,21.39,22.5,39,22.5,39
OK,2013,2,"1,808","1,517",84,5.1,44,93,20.5,20.5,22.1,34,22.1,34
OK,2013,3,"1,805","1,500",85,5.1,42,93,20.74,20.74,22.4,31,22.4,31
OK,2013,4,"1,795","1,536",85,4.9,42,89,19.46,19.46,21.9,37,21.9,37
OK,2014,1,"1,788","1,518",85,4.9,47,87,19.01,19.01,21.8,42,21.8,42
OK,2014,2,"1,794","1,539",85,4.3,43,77,17.09,17.09,22.2,36,22.2,36
OK,2014,3,"1,800","1,525",86,4.3,41,77,16.84,16.84,21.8,31,21.8,31
OK,2014,4,"1,810","1,565",86,3.9,42,70,15.53,15.53,22.2,37,22.2,37
OR,2009,1,"1,965","1,578",111,11.5,5,225,123.77,123.83,54.9,14,55,14
OR,2009,2,"1,974","1,588",111,11.2,7,222,119.96,124.67,54.1,13,56.2,12
OR,2009,3,"1,979","1,572",111,10.5,13,207,99.34,110.51,48,10,53.4,11
OR,2009,4,"1,955","1,574",110,10.2,17,199,94.46,99.6,47.6,10,50.2,10
OR,2010,1,"1,968","1,532",110,11.8,9,233,104.29,104.61,44.8,17,45,17
OR,2010,2,"1,992","1,573",110,10.6,9,212,86.03,99.5,40.6,10,46.9,7
OR,2010,3,"2,007","1,574",110,10.4,11,208,70.96,91.2,34.1,18,43.8,9
OR,2010,4,"1,999","1,590",110,10.1,11,202,71.24,86.77,35.2,13,42.9,13
OR,2011,1,"1,988","1,553",110,10.6,9,210,79.68,92.06,37.9,16,43.8,16
OR,2011,2,"1,993","1,592",110,9.5,15,189,64.96,75.66,34.3,10,40,11
OR,2011,3,"2,009","1,593",109,9.5,16,190,57.24,65.97,30.1,17,34.7,12
OR,2011,4,"1,994","1,609",109,8.9,13,177,61.03,70.03,34.4,13,39.5,12
OR,2012,1,"1,973","1,576",110,9.7,7,192,72.92,81.37,38.1,15,42.5,14
OR,2012,2,"1,968","1,617",111,8.7,14,171,55.25,56.49,32.2,14,33,14
OR,2012,3,"1,971","1,622",111,8.7,15,171,47.41,47.42,27.8,19,27.8,19
OR,2012,4,"1,946","1,635",111,8.2,13,160,55.58,55.58,34.7,19,34.7,20
OR,2013,1,"1,917","1,605",111,9,10,172,56.53,56.53,32.9,22,32.9,22
OR,2013,2,"1,922","1,658",112,7.7,17,148,46.72,46.73,31.5,17,31.5,17
OR,2013,3,"1,938","1,662",113,7.5,18,145,43.67,43.69,30.1,17,30.1,17
OR,2013,4,"1,921","1,680",113,6.9,18,133,44.32,44.32,33.3,17,33.3,17
OR,2014,1,"1,927","1,651",113,7.7,12,148,51.04,51.04,34.5,22,34.5,22
OR,2014,2,"1,943","1,701",113,6.5,16,126,38.67,38.67,30.7,18,30.7,18
OR,2014,3,"1,970","1,711",113,6.6,20,130,34.27,34.27,26.4,19,26.4,19
OR,2014,4,"1,960","1,731",115,5.9,18,116,36.17,36.17,31.2,19,31.2,19
PA,2009,1,"6,422","5,350",288,8.1,28,518,364.44,364.46,70.3,3,70.3,3
PA,2009,2,"6,445","5,401",287,8,30,513,359.43,380.89,70.1,2,74.3,2
PA,2009,3,"6,434","5,322",286,8.2,32,529,331.55,377.69,62.7,2,71.4,2
PA,2009,4,"6,300","5,380",285,7.6,35,480,286.94,319.28,59.7,3,66.4,3
PA,2010,1,"6,316","5,239",284,9.2,33,580,336.47,349.06,58,3,60.2,3
PA,2010,2,"6,376","5,400",281,8.1,32,516,260.32,267.59,50.5,3,51.9,4
PA,2010,3,"6,407","5,365",283,8,31,515,253.39,289.16,49.2,2,56.2,3
PA,2010,4,"6,343","5,442",285,7.5,35,478,237.99,278.68,49.8,3,58.3,3
PA,2011,1,"6,330","5,329",288,8.2,34,518,280.17,316.73,54,4,61.1,3
PA,2011,2,"6,375","5,475",295,7.6,35,483,222.29,257.29,46,3,53.2,3
PA,2011,3,"6,430","5,415",302,8,28,513,225.37,249.85,44,3,48.7,2
PA,2011,4,"6,392","5,493",308,7.3,29,466,208.03,234.84,44.7,3,50.4,3
PA,2012,1,"6,375","5,389",317,8,29,507,254.62,280.28,50.2,6,55.3,3
PA,2012,2,"6,455","5,516",317,7.5,25,486,203.08,212.48,41.8,4,43.7,3
PA,2012,3,"6,506","5,469",316,7.9,23,513,213.07,213.28,41.5,3,41.6,3
PA,2012,4,"6,460","5,530",306,7.2,23,468,198.1,198.14,42.3,5,42.3,5
PA,2013,1,"6,406","5,415",309,7.9,22,509,229.97,229.99,45.2,7,45.2,7
PA,2013,2,"6,449","5,537",303,7.1,23,456,174.71,174.72,38.3,7,38.3,7
PA,2013,3,"6,464","5,500",308,7.1,24,462,175.09,175.1,37.9,4,37.9,4
PA,2013,4,"6,361","5,553",303,6.4,24,404,167.96,167.96,41.6,6,41.6,6
PA,2014,1,"6,360","5,433",313,6.8,24,431,218.86,218.86,50.8,5,50.8,5
PA,2014,2,"6,396","5,584",316,5.9,26,375,161.01,161.01,42.9,3,42.9,3
PA,2014,3,"6,422","5,557",317,6,27,383,148.92,148.92,38.9,4,38.9,4
PA,2014,4,"6,379","5,622",293,5.1,29,327,137.8,137.8,42.2,9,42.2,9
PR,2009,1,"1,313",955,72,14.2,2,186,51.51,51.51,27.7,53,27.7,53
PR,2009,2,"1,306",946,73,15.1,2,197,59.99,61.65,30.5,52,31.3,52
PR,2009,3,"1,295",915,74,16.6,2,215,65.96,76.26,30.7,47,35.5,43
PR,2009,4,"1,291",944,74,15.5,2,200,55.4,65.35,27.7,46,32.7,40
PR,2010,1,"1,279",923,75,16.1,2,206,50.37,53.63,24.4,50,26,49
PR,2010,2,"1,275",915,76,17.1,2,218,55.05,59.9,25.2,43,27.5,40
PR,2010,3,"1,259",893,49,16.7,2,211,60.87,79.74,28.9,27,37.9,19
PR,2010,4,"1,262",921,50,15.5,2,196,49.57,74.21,25.3,35,37.9,20
PR,2011,1,"1,237",904,47,16.4,2,203,42.46,42.84,20.9,50,21.1,53
PR,2011,2,"1,221",907,48,16.1,2,196,40.66,40.67,20.7,45,20.7,49
PR,2011,3,"1,206",890,47,16.2,2,195,42.89,42.89,22,36,22,46
PR,2011,4,"1,217",925,47,15.1,2,184,40.25,40.25,21.9,39,21.9,48
PR,2012,1,"1,210",912,46,15.3,2,185,36.41,36.41,19.7,51,19.7,52
PR,2012,2,"1,193",921,47,14.1,2,169,33.31,33.31,19.8,45,19.8,47
PR,2012,3,"1,188",911,48,14.6,2,174,36.37,36.38,20.9,39,20.9,39
PR,2012,4,"1,186",944,48,13.9,2,164,33.65,33.65,20.5,45,20.5,45
PR,2013,1,"1,178",914,47,14.1,2,166,34.73,34.73,20.9,44,20.9,44
PR,2013,2,"1,154",913,46,13.5,2,155,40.47,40.47,26,26,26,26
PR,2013,3,"1,165",892,47,14.9,2,174,40.92,40.92,23.6,29,23.6,29
PR,2013,4,"1,168",923,47,14.7,2,172,31.65,31.65,18.4,48,18.4,48
PR,2014,1,"1,154",898,47,14.4,2,166,30.45,30.45,18.3,48,18.3,48
PR,2014,2,"1,126",890,48,13.3,2,150,28.19,28.19,18.8,45,18.8,45
PR,2014,3,"1,122",876,48,14.8,2,166,34.46,34.46,20.8,34,20.8,34
PR,2014,4,"1,127",909,49,13.1,2,148,27.38,27.38,18.6,42,18.6,42
,,,,,,,,,,,,,,
